Student ID, Assignment 1, Assignment 2, Project, Mid Terms, Exam, Participation
S1111,25,54,48,59,80,9
S001,25,54,48,59,80,9
S003,78,31,58,69,90,9
S004,69,57,84,56,49,10
S005,45,73,62,82,73,3
S007,75,71,33,45,100,3
S008,89,33,28,64,50,8
S009,34,54,73,48,81,3
S010,43,38,47,57,72,3
S011,78,49,52,83,63,5
S012,31,35,27,49,78,9
S013,87,70,26,52,81,2
S014,44,67,32,52,38,5
S015,56,40,62,74,62,5
S016,87,71,75,71,81,1
S017,21,35,81,60,47,7
S018,44,55,39,51,47,2
S019,36,75,49,48,87,1
S020,64,62,56,50,91,8
S021,89,62,77,56,61,8
S022,76,72,58,73,64,2
S023,81,48,32,49,73,8
S024,31,39,47,46,60,3
S025,43,59,75,59,100,9
S026,62,69,76,80,35,1
S027,62,42,35,58,98,3
S028,62,32,67,80,100,1
S029,46,66,48,66,63,3
S030,76,36,41,63,69,4
S031,87,48,75,67,54,8
S032,74,42,46,47,56,2
S033,23,37,32,85,81,4
S034,44,57,48,83,90,7
S035,66,52,75,47,72,5
S036,33,62,57,84,60,2
S037,21,73,54,72,88,7
S038,8,53,32,83,85,5
S039,58,49,40,79,74,1
S040,23,40,48,85,58,4
S041,42,63,82,61,86,6
S042,15,56,24,71,94,8
S043,22,42,62,68,44,7
S044,58,53,44,82,69,7
S045,37,41,38,65,46,6
S046,45,45,51,61,45,3
S047,83,51,43,78,87,3
S048,15,34,65,54,57,5
S049,43,22,39,67,67,4
S050,20,58,57,75,77,7
S051,78,41,48,78,87,4
S052,8,64,50,82,53,3
S053,39,42,45,70,57,1
S054,70,35,66,52,37,4
S055,60,71,42,67,90,8
S056,83,54,54,80,39,1
S057,50,45,49,82,76,5
S058,33,46,45,63,36,4
S059,69,70,45,76,83,1
S060,2,64,61,77,53,3
S061,83,30,47,47,50,1
S062,59,74,47,63,93,7
S063,7,62,79,73,98,6
S064,41,70,77,58,37,10
S065,25,73,24,59,66,4
S066,17,33,46,50,37,2
S067,82,46,72,60,45,10
S068,9,62,59,69,35,10
S069,76,72,67,85,85,7
S070,14,52,67,49,58,8
S071,13,29,38,51,54,3
S072,35,72,77,73,87,6
S073,15,55,73,82,89,5
S074,19,34,60,45,49,9
S075,1,74,40,64,57,1
S076,61,35,48,71,59,5
S077,39,47,63,55,67,5
S078,26,34,61,48,61,1
S079,58,62,80,52,55,1
S080,40,34,57,58,41,8
S081,73,53,55,55,87,1
S082,31,45,84,60,48,5
S083,40,34,31,61,35,7
S084,61,33,80,66,54,4
S085,35,65,44,81,55,5
S086,58,38,38,74,91,8
S087,55,29,23,68,80,1
S088,40,43,69,58,46,7
S089,19,69,75,64,98,3
S090,5,62,59,82,62,10
S091,20,31,68,71,67,1
S092,67,72,53,81,75,7
S093,17,59,34,78,81,1
S094,14,45,56,48,80,8
S095,50,66,25,85,69,3
S096,20,48,61,58,87,2
S097,46,36,76,69,77,8
S098,23,63,56,49,98,7
S099,37,74,80,71,40,8
S100,37,41,28,67,93,4
S101,74,68,37,79,58,1
S102,63,56,84,81,39,1
S103,3,41,58,84,97,6
S104,4,74,56,77,76,9
S105,44,51,55,53,89,9
S106,10,31,58,49,66,8
S107,31,64,66,47,93,8
S108,29,32,48,58,98,5
S109,67,75,50,77,57,2
